ID;TITULO;CUERPO;TEMA;FECHA PUBLICACION;URL;EDITORIAL;ETIQUETA;;
70;Candidatos buscan votos bajo amenazas y en condiciones extremas;Hacer una campaña política en este país no es tan sencillo como algunos creen. A tan solo 35 días para que se lleven a cabo las elecciones al Congreso, el próximo 13 de marzo, varios candidatos se ven enfrentados a la tarea titánica de conseguir votos en zonas de difícil acceso. Y es que no es solo el hecho en sí de hacer proselitismo sino que hay que tener en cuenta que en algunos lugares la guerra no les permite avanzar en la contienda y en otros es la geografía y las distancias las que parecen atravesarse a la democracia. De esto último sí que está lleno el país, especialmente en la Orinoquia y en la Amazonia. Son lugares en donde conseguir un voto es mucho más costoso que al interior del país y donde los recorridos son más riesgosos y, por supuesto, se hacen más largos. Hay zonas en las que los trayectos pueden tardar hasta dos días en bote y a píe para llegar a sitios en donde escasamente se encuentran unos 50 votos. Pero en una contienda como esta eso puede marcar la diferencia, al tratarse de lugares en los que un congresista puede salir elegido con unos 7.000 votos. Indudablemente, uno de los lugares más lejanos es el Guainía. Es un departamento en el que la geografía y la naturaleza parecen oponerse a los candidatos.Es así, como para ir desde la capital hasta el municipio de Barranco Minas hay dos alternativas: en avión, en un vuelo que dura aproximadamente una hora, o por río que son 10 horas en una lancha rápida, siempre y cuando el afluente esté crecido. Si el candidato tiene algo de recursos, puede alquilar un vuelo chárter desde Villavicencio, por el cual le pueden cobrar unos 3 millones, o irse en el DC-3, que va todos los miércoles a ese poblado y cuyo pasaje cuesta alrededor de 400.000 pesos. “Aquí en Guainía el 70 por ciento de los recursos que se destinan a la campaña se van en transporte y logística. Hay sitios en donde un galón de gasolina puede costar hasta 40.000 pesos y una gaseosa 2 litros 30.000”, explicó el candidato Carlos Cuenca, actual representante a la Cámara y quien asegura que el denominador común en la mayoría de estas salidas es que hay que echarse la bendición antes de subirse a la lancha o al avión. Uno de los sitios más lejanos que hay en el Guainía para ir hacer campaña es Punta Tigre. Para ir allí hay que alquilar un vuelo chárter -que se hace en Villavicencio- el cual debe partir desde Inírida y volar hasta Mitú, la capital del Vaupés. Allí se aterriza, se recarga la avioneta de combustible y  se vuela hasta el lugar, donde está adecuada una pequeña pista en medio de la selva. En la zona hay unas 200 personas aptas para votar y el vuelo puede costar unos 3 millones de pesos. Sobre el río Guainía está Caño Colorado, otro sitio al cual hay que llegar en avioneta con vuelo previo hasta Mitú. Mientras en buena parte del país, los candidatos llevan pancartas, volantes y publicidad en sus recorridos, en estas zonas alejadas se debe llevar una cava con agua, enlatados, hamaca y repelente para los zancudos. Por el río Inírida se llega hasta Chorro Bocón, el último sitio hasta el que la Fuerza Pública les recomienda a los candidatos desplazarse, por asuntos de seguridad. Hasta allí son seis horas de recorrido y hay que pasar cuatro raudales. Por los lados de la frontera con Venezuela la campaña se ha hecho muy difícil pues hay un sujeto que se autodenomina Alex Bonito, quien no está permitiendo que por la zona transite la gente a menos que le paguen una extorsión. Siguiendo hacia el sur, por la frontera con Venezuela y Brasil, la recomendación es que la campaña solo se haga hasta San Felipe, donde hay una base de la Armada. De ahí para abajo prefieren no continuar por los riesgos de seguridad para los candidatos. Una situación similar se registra en el Vichada. Diego Parra, candidato al Senado de la lista del partido llanero, está en Cumaribo, el municipio más extenso de Colombia y cuyo casco urbano escasamente tiene unas cuatro calles. De acuerdo con él, para moverse hasta la comunidad ubicada en la selva de Acatisema, muy cerca de Barrancominas, hay que hacer un recorrido de ocho horas por una trocha hasta Santa Rita, en la frontera con Venezuela, y de ahí hay que navegar alrededor de 12 horas por los ríos Orinoco y Guaviare. “Uno se lleva panela, café, el kit de aseo, el chinchorro, el toldillo, la linterna, papel higiénico y un radio. Hay quienes cargan el agua y otros no llevamos porque por el camino hay muchos nacederos”, contó. Situación muy similar se registra en el Amazonas, un departamento con más de 90.000 kilómetros y que solamente tiene dos municipios pues los demás se consideran áreas no municipalizadas. La zona más cercana a Leticia, la capital del departamento, es Puerto Nariño.. Para llegar hasta allí hay que alquilar un bote que cobra alrededor de 2 millones de pesos a lo que se suman los 2 millones de pesos que vale la gasolina y lo que hay que llevarles a las comunidades. En esa zona del país el punto más alejado puede ser La Victoria, un caserío en su mayoría integrado por indígenas. Para llegar hasta allí el recorrido en bote puede durar más de un mes. Así que solo puede hacerse en vuelo chárter.;;;https://www.eltiempo.com/politica/partidos-politicos/campanas-politicas-en-las-regiones-para-elecciones-a-congreso-en-colombia-649816;;Verdadera;;
71;Las reformas que la OCDE propone a Colombia;La organización propuso una reforma pensional y mayor tributación para combatir la informalidad en Colombia. En Paris, Francia el presidente Iván Duque recibió el informe ‘Economic Survey on Colombia 2022’, sobre la recuperación económica tras la pandemia del COVID-19 y las medidas que se deben tomar en materia económica. Aún que el informe respalda las medidas implementadas por el Gobierno colombiano para enfrentar la crisis, hace énfasis en la necesidad de implementar reformas para combatir la informalidad y mejorar la economía. Según la OCDE, Colombia necesita una reforma pensional y un mayor recaudo tributario en el corto plazo por lo que, entre otras medidas, plantea recaudar más ingresos del impuesto a la renta de las personas mediante la reducción del umbral de ingresos a partir del cual los contribuyentes empiezan a tributar. Según el organismo un 60% de los trabajadores tienen informalidad laboral, la cual los excluye del acceso a la seguridad social y reduce la productividad y los ingresos tributarios. Tras la presentación de este informe el presidente Iván Duque aseguró que en lo que resta de su gobierno no presentará una nueva reforma e hizo un llamando a prestar atención a las propuestas electorales en esa materia. “Me parece importante decir que hay que tener mucho cuidado con muchas propuestas que se han presentado en el entorno electoral que quieren reversar esas medidas y lo que lograrían reversando esas medidas es volver a aumentar el nivel de tributación de empresas y si eso ocurre afectaría la implementación de empleo y por lo tanto detonaría más informalidad”, aseguró el mandatario.;;;https://caracol.com.co/radio/2022/02/10/politica/1644511282_770455.html;;Verdadera;;
72;El Eln secuestró a mi hija y la asesinó': Rodolfo Hernández;"Rodolfo Hernández, exalcalde de Bucaramanga, ha sido una de las sorpresas en las encuestas presidenciales. En las recientes encuestas aparece entre el segundo y el tercer lugar en ls mismas. El ingeniero que va en la lucha por la presidencia con la Liga de Gobernantes Anticorrupción habló durante el debate, entre otros temas, de sus rivales y de sus propuestas de gobierno. Los precandidatos que asisten al evento Sergio Fajardo, Camilo Romero, Alejandro Gaviria, Federico Gutiérrez, Juan Manuel Galán, Ingrid Betancourt, Francia Márquez, Gustavo Petro, Óscar Iván Zuluaga y Rodolfo Hernández. ""Aquí se roban todo. La mejor reforma tributaria que propongo es acabar con los ladrones que están incrustados en los más altos cargos del Gobierno. Esa es la manera de luchar contra la corrupción"", explicó Hernández. Con respecto a la pregunta que si ¿Negociaría con el Eln y disidencias?, Hernández aseveró que las Farc secuestró a su padre y que el Eln hizo lo propio y asesinó a su hija. ""No quiero trasladar mis problemas personales al país. Llevamos 50 años dialogando y nada. Se debe dialogar con el Eln, pero necesitamos compromiso de esa guerrilla, hay que avanzar"", explicó.";;;https://www.eltiempo.com/politica/partidos-politicos/elecciones-colombia-2022-rodolfo-hernandez-647161;;Verdadera;;
73;La crisis política y social que se vive en El Charco, Nariño;"Además de que en los últimos seis meses el municipio ha tenido tres alcaldes, la presencia de actores armados tiene en vilo a la población. Hubo un acuerdo para levantar las protestas, pero exigen que haya mayor apoyo estatal en la zona. En el municipio de El Charco, en Nariño, terminó ayer el paro de campesinos, indígenas y afros que desde hace 24 días mantenían los habitantes de por lo menos 60 veredas, que llegaron al casco urbano ante, como lo señalan, el abandono del Estado a lo que se sumaría la estigmatización de la fuerza pública, que habría intensificado su presencia en las zonas rurales. Pero este no es su único problema, aparte de la situación social, cada vez son mayores los inconformismos por la administración del municipio, pues en los últimos seis meses se han elegido tres alcaldes, debido a que el mandatario electo fue relacionado con hechos de corrupción y se encuentra en prisión domiciliaria, mientras la comunidad se mantiene en vilo ante la presencia de actores armados. El Charco se encuentra en el Pacífico y es uno de los municipios más grandes de Nariño, pero a la vez uno a los que más difícil acceso se tiene, ya que allí solo se puede llegar por vía marítima desde Tumaco. Esto y su conexión con el Cauca (porque está en frontera con el municipio de Argelia) ha hecho que la zona sea codiciada para el cultivo de coca y por consiguiente por el control de los grupos armados ilegales. De acuerdo con la más reciente alerta temprana de la Defensoría (2018) sobre esta zona del Pacífico, en la zona hacen presencia grupos como el Eln, así como el frente Óliver Sinistera y las Guerrillas Unidas del Pacífico, que en los últimos años han mantenido enfrentamientos armados, así como han perseguido a exintegrantes de grupos armados y reinsertados, provocando constantes desplazamientos. Uno de los principales intereses es el control del comercio ilegal por la cuenca del río Tapaje, a donde las últimas semanas se ha intensificado la presencia del Ejército, por lo que los habitantes de las riberas salieron a protestar ante el temor de quedar en medio de enfrentamientos armados. Uno de los principales intereses es el control del comercio ilegal por la cuenca del río Tapaje, a donde las últimas semanas se ha intensificado la presencia del Ejército, por lo que los habitantes de las riberas salieron a protestar ante el temor de quedar en medio de enfrentamientos armados. Lo que principalmente pide el Consejo comunitario pro defensa del río es que no se instale una base militar en el corregimiento de San José del Tapaje, ya que, según denuncian, se habrían presentado hostigamientos y estigmatizaciones por parte de los uniformados a la población civil. Ante esto, la Defensoría recalcó el pasado miércoles que “en los consejos comunitarios de Alto Mira y Frontera los grupos armados ilegales no permiten la entrada de alimentos y la comercialización de los mismos, por lo que ya se presenta desabastecimiento”, mientras que en El Charco el confinamiento se dio en medio del paro pacífico en el que los habitantes de las zonas rurales exigían mayor inversión social y que cese el reclutamiento de menores de edad, entre otras medidas, lo que provocó el cierre del comercio y los colegios, ya que los manifestantes se asentaron en los colegios del casco urbano. En respuesta el Gobierno Nacional, ante el bloqueo fluvial, que es paso importante entre Tumaco y Buenaventura, envió una comisión integrada por los viceministros de la defensa Sandra Alzate y del Interior, Carlos Baena, quienes llegaron a un varios acuerdos, por los que ayer se levantaron las protestas, aunque quedó un sinsabor porque no se llegó a ningún acuerdo con respecto a la presencia del Ejército sobre el río. Según el secretario de Gobierno de Nariño, Amilcar Pantoja, no hubo directamente un confinamiento, pero si una crisis por el cierre del comercio y la presión de los grupos que exigen la salida del Ejército. “Ya se está volviendo a la normalidad, pero eso no se da de la noche a la mañana. Estamos coordinando el envío de alimentos. Hoy salen 90.000 huevos de Ipiales y la armada está movilizando a las personas que no tenían la posibilidad de salir de su territorio”. Por su parte, la personera Martha Camacho indicó que hasta el momento no se han puesto denuncias formales por abusos del Ejército y se refirió a los acuerdos que hizo el Gobierno Nacional. “Se acordó la ampliación y creación de proyectos, por lo que la próxima semana van a venir para evaluar la viabilidad de los proyectos productivos en la comunidad. Dentro de los nueve compromisos a los que se llegaron, según conoció este medio, Además de lo mencionado por los funcionarios, el Ministerio de Defensa se comprometió a crear una ruta para denunciar hechos que involucren a la Fuerza Pública, mientras que el Ministerio del Interior se comprometió a gestionar enlaces comerciales para la comercialización de productos de la zona, asesorar a las comunidades negrar en la estructuración de proyectos, avanzar en la caracterización de los consejos comunitarios y revisar los sistemas de agua y alcantarillado. Otro de los inconformismos está relacionado con la falta de la gobernabilidad en los últimos meses, tras la captura, por hechos de corrupción, del alcalde electo Víctor Candelo, contra quien además el pasado fin de semana hubo un atentado. Primero se eligió a Jefferson Segura, quien también salió del cargo por irregularidades en contratos; luego se nombró provisionalmente a José Obregón, quien ahora será reemplazado por Jesús David Ureña. Pese a la negativa de la comunidad para recibirlo, el secretario de Gobierno cree que podría aportar a la comunidad. “Vemos potencialidades, porque al ser externo del municipio permitirá que haya una imparcialidad entre partidos”. Pero lo cierto, es que todo dependerá de la gestión que haga no solo para lograr una buena relación con la comunidad, sino además para encontrar la estabilidad social y política que exige la región.";;;https://www.elespectador.com/colombia/mas-regiones/la-crisis-politica-y-social-que-se-vive-en-el-charco-narino/;;Verdadera;;
74;A través de un comunicado, ELN amenaza con paro armado en el territorio nacional durante 72 horas;En él, el ELN ha amenazado con decretar un paro armado durante 72 horas iniciando el día lunes 14 de febrero y terminando el día martes 17 de febrero. Un amenazante comunicado del ELN que ha sido expuesto en las últimas horas ha alertado a las autoridades. En él, el ELN ha amenazado con decretar un paro armado durante 72 horas iniciando el día lunes 14 de febrero y terminando el día martes 17 de febrero. Así mismo, en el amenazante comunicado, el ELN señala que no responderán por civiles que se transporten en caravanas militares o policiales.;;;https://www.elnodo.co/traves-de-un-comunicado-eln-amenaza-con-paro-armado-en-el-territorio-nacional-durante-72-horas;;Falso;;
75;Presidente Iván Duque de Colombia posee cuentas en paraísos fiscales por más de $10 billones;La aparición de nuevos documentos de los Papeles de Pandora, sobre paraísos fiscales, ha vuelto a sacudir el mundo financiero. Entre los que aparecen en el listado se encuentra el presidente de Colombia, Iván Duque Márquez, con el movimiento de más de 10 billones de pesos colombianos depositados en tres bancos de las islas Bermudas de Inglaterra. La noticia la dio a conocer el Consorcio Internacional de Periodistas Investigadores (ICIJ, por sus siglas en inglés) a través de la Agencia de Desarrollo Empresarial de las Bermudas, agencia ligada a la investigación que involucra más de 150 políticos en el mundo. En las investigaciones que han sido reveladas por esa agencia se menciona que el presidente colombiano realizó las transferencias desde el banco central de Colombia a los bancos de las islas inglesas, con el sistema SWIFT, donde se identificaron las entidades receptivas de los depósitos realizados entre los meses de Septiembre y Noviembre del pasado año 2021. Al respecto sobre la investigación periodística adelantada por ‘Pandora Papers’, que ha causado revuelo en el mundo político nacional, el presidente de la República, Iván Duque Márquez, habló del tema que involucró a más de 500 colombianos en asociaciones ‘offshore’. Entre los mencionados se encuentran embajadores, ministros, expresidentes y actuales funcionarios públicos del Gobierno Nacional. “Tener cuentas en el exterior no es un delito, lo que sí quiero dejar claro es que todo el que tenga activos en el exterior, sea quien sea, tiene que estar declarado ante la dirección de impuestos y aduanas nacionales”, expresó el mandatario a los medios de comunicación. Cabe recordar que ‘Pandora Papers’, la investigación del Consorcio Internacional de Periodistas de Investigación, reveló las sociedades en paraísos fiscales que tendrían políticos, artistas y empresarios del país. La investigación también involucra a la vicepresidenta de la República, Martha Lucía Ramírez, y la ministra de Transporte, Ángela María Orozco,  sobre quienes la investigación arrojó que tuvieron participación en la sociedad Global Securities Management Corporation. Otro de los implicados en la investigación es el expresidente César Gaviria, quien también se refirió al respecto de los señalamientos. El expresidente Andrés Pastrana, así como el entonces director de la Dian, Lisandro Junco, también estarían relacionados con ‘offshores’ de países como Panamá, Chipre y Reino Unido. El actual candidato a la Presidencia de la República, Enrique Peñalosa, también fue relacionado con la filtración de información. Peñalosa tendría vínculo con dos empresas en Panamá que están dedicadas a la consultoría en planeación urbana. “En 2008 creé una sociedad en Panamá, posteriormente otra que absorbió a esa y en 2015 la liquidé. En los últimos 20 años todo mi trabajo ha sido fuera de Colombia, en ciudades de México, Brasil, Guatemala, Pakistán, Irán, Filipinas, India, Kazajistán, Australia y Estados Unidos”, indicó el exalcalde de Bogotá. Peñalosa aseguróo que todos los activos resultantes de estas operaciones han sido debidamente declarados en Colombia. Ante la trascendencia del escándalo, el presidente Duque indicó que quien no tenga los activos declarados tendrá multas, como también tendrá el beneficio de acogerse a un impuesto de normalización para declarar correctamente los activos.;;;https://www.lasillavacia.com/la-silla-vacia/detector-de-mentiras/detector:-no-hay-prueba-de-que-duque-tenga-cuentas-en-para%C3%ADsos-fiscales;;Falso;;
76;"Cómo surgió el apodo de ""El Cacas"" a Gustavo Petro.";"La unidad Investigativa Semana indagó entre antiguos compañeros del excomandante guerrillero Gustavo Petro sobre el origen de su apodo. Todo se remonta a los años 80 en que Gustavo Petro cumplía labores de carcelero en las ""Cárceles del Pueblo"", unos hoyos bajo tierra generalmente de 2 Mts donde el M19 mantenía a sus secuestrados. Narra el guerrillero Rupertino Suárez compañero de ""Aureliano"", alias que utilizaba en esa época Gustavo Petro, que el hoy senador Petro tenía la costumbre de defecar en el orificio de salida de estos habitáculos usándolos como letrina para ablandar y humillar a los secuestrados; de ahí que sus camaradas le colocaron el remoquete de EL CACAS.";;;https://factual.afp.com/http%253A%252F%252Fdoc.afp.com%252F9V784Z-1;;Falso;;
77;¿Por qué odio a los paisas? - Daniel Quintero Calle;Debo confesar que, a pesar de nacer en Medellín, en el Tricentenario, siempre odié esta ciudad, su metro elevado, su soberbia, y sobre todo su empalago, cansino y didículo acento de pacotilla, que a los hombres los hace ver como ignorantes y a las mujeres como prepagos de mala muerte.;;;https://www.lasillavacia.com/la-silla-vacia/detector-de-mentiras/quintero-no-escribi%C3%B3-una-columna-titulada-%E2%80%9Cpor-qu%C3%A9-odio-a-los-paisas%E2%80%9D;;Falso;;
78;AMIGO COLOMBIANOS NO SE DEJEN EXPROPIAR;"Luego de escuchar durante años al presidente Venezolano Hugo Chávez Frías, decir la famosa frase: “Exprópiese, señor ministro expropie”, la frase hoy cobra importancia en el ámbito político colombiano; el ex alcalde Petro colocó en boca de los colombianos la imagen auditiva “Expropiar”. Desde entonces en las esquinas, en los buses, en el colegio, en la iglesia y en el trabajo se habla de la expropiación, unos desmintiendo y defendiendo al candidato de la Colombia Humana y sus opositores sosteniendo con argumentos analógicos lo que podría generar la llegada de Petro al poder y comparan nuestra economía actual con la hecatombe venezolana, situación a los que nos podría llevar un eventual triunfo de Petro en las justas electorales. Yo que siempre he sido renuente a los temas políticos, pero analizando la situación, me he visto en la obligación moral e histórica de intervenir con mi mas humilde opinión; vivo preocupado con el tema de la expropiación y creo que el pueblo no se ha dado cuenta que ya lo expropiaron, que durante siglos nuestro pueblo se le ha expropiado todo y que nada hay que temer si Petro llega al poder, puesto que al pueblo no hay más nada que expropiarle. Los españoles nos expropiaron nuestras tierras desde hace mas de 500 años y con ello el derecho a nuestra lengua y a nuestra religión; la colonización castró nuestra cosmogonía, nuestra forma de ver el mundo y los fenómenos naturales, la forma de relacionarnos con la naturaleza y con Dios, mancharon nuestra raza con la blanca europea, legado de delincuentes que llegaron a nuestras tierras a engendrar el virus de la corrupción y el aprovechamiento. La expropiación siguió durante siglos, la mujer colombiana vivió expropiada de sus derechos civiles y políticos, lo mismo que el negro y las minorías raciales. Usted que da clases en la escuela como docente o como estudiante, usted abogado, policía, medico, vendedor ambulante, señor Colombiano en sentido general, si no se ha dado cuenta, la expropiación llegó a su patrimonio desde antes que Petro aspirara a un cargo público, si no se ha dado cuenta, a usted lo expropiaron de la remuneración justa de las horas extras, de los recargos nocturnos, de las garantías mínimas laborales, a muchos trabajadores de todas las prestaciones sociales, porque se inventaron el comodín de las ordenes de prestación de servicio. Por otro lado lo expropiaron del derecho a la salud digna, a una educación de calidad, logrando con esto el arrebato de la vida en edades tempranas y cuartándolo del derecho al acceso al conocimiento y la ciencia, guardándose las clases altas el derecho a la medicina y los tratamientos médicos de calidad, lo mismo que los cupos en las grandes universidades, lo que le da la calificación posterior para ocupar los cargos de manejo del país, es por ello, que usted encuentra en la lista de presidentes, apellidos que se repiten como Santos, Lleras, López, Ospina y dejando por fuera del ponqué presupuestal apellidos humildes como el suyo o el mío. Expropiaron al estado de los bancos entregándole el monopolio del control cambiario a los ricos del país, para que impongan las condiciones de los créditos al colombiano de a pie, y lo hundan más en la pobreza con altos intereses; Expropiaron al pueblo de las empresas del país, para evitar pagos dignos y de esta forma ejercer el control de los salarios a su antojo, logrando ampliar aun mas la brecha de miseria entre los ricos ustedes y yo. A los más humilde que andan en moto le expropiaron el derecho de cargar en la parrilla a su familia; como si fuese poco le han quitado a muchos colombianos la oportunidad de elegir, puesto que la de ser elegido solo es para los ricos y preparados, más para los ricos que para los preparados, pero el de elegir, que es el poder que usted tiene en su cedula se lo han expropiado a través de los canales de televisión que manipulan la información y que a su vez expropiaron al estado de los espacios, puesto que antes eran del estado la cadena uno y la dos, ahora son RCN y Caracol, cuyos dueños son los expropiadores del país, ellos muestran lo que les interesa que usted crea, pero no la realidad del país, otra forma de expropiarlo es valiéndose de la necesidad económica de la gente y con el billete que le expropiaron le hurtan la conciencia. Se expropian los recursos públicos en las obras inconclusas y mal diseñadas, guardándose los grandes sorbos presupuestales para reírse del ciudadano en los grandes hoteles de Europa, Norte América y Asia. Yo que sufrí la expropiación de mis proyectos e ilusiones cuando cerraron el Hospital08 San Juan de Dios, me revelo a que me expropien la dignidad y el derecho a pensar, por todo esto y muchas cosas más Voto por Petro.";;;https://www.lasillavacia.com/la-silla-vacia/detector-de-mentiras/esta-supuesta-cadena-de-patarroyo-contra-petro-es-falsa;;Falso;;
79;La intervención colombiana en las elecciones de EE.UU. tendría consecuencias;"El presidente electo Joe Biden quien tomará posesión el 20 de enero, fue muy claro: ""Ya tenemos la información que el gobierno colombiano ha intervenido en campañas de desinformación, desprestigio y ahora vandalismo con manifestantes con nacionalidad estadounidense afines a su partido, por tanto ese gobierno debe asumir las consecuencia"" ""Vamos a investigar profundamente a ese gobierno porque al igual que Venezuela, Colombia está permeado por el narcotráfico y es el mismo gobierno de Duque quien lo orquesta"" agregó Biden";;;https://www.lasillavacia.com/la-silla-vacia/detector-de-mentiras/detector-biden-no-dijo-ya-tenemos-la-informacion-que-el-gobierno-colombiano-ha-intervenido;;Falso;;
80;GOBIERNO DE LOS EE.UU DE JOE BIDEN ESTARÁ CON EL CANDIDATO PRESIDENCIAL GUSTAVO PETRO EN EL 2022.;El Gobierno de los Estados Unidos está muy interesado en las elecciones presidenciales de Colombia en el 2022, y todo indica que Petro contará con el apoyo fundamental del Gobierno de los Estados Unidos para ganar y trabajar conjuntamente en temas fundamentales como lo es el cambio climático decidido, la implementación del proceso de paz de manera integral, lucha contra el narcotráfico y temas intercambios comerciales para fortalecer e impulzar la economía colombiana, teniendo en cuenta las ventajas comparativas.;;;https://www.lasillavacia.com/la-silla-vacia/detector-de-mentiras/detector:-biden-no-est%C3%A1-apoyando-la-candidatura-de-petro;;Falso;;
81;Gustavo Petro ocupa el sexto lugar de los mejores alcaldes del mundo;"The Huffington Post hizo el ranking de líderes locales que transformaron sus ciudades. El alcalde de Bogotá, Gustavo Petro Urrego, está en la lista de los ocho mejores alcaldes del mundo. Según una publicación del portal The Huffington Post, el burgomaestre capitalino ocupa el sexto lugar entre los más destacados. La publicación señala que Petro ha ganado una reputación de desafiar el status quo y cuestionar la autoridad. Además indica que es “un alcalde de izquierda que ha chocado con la clase política más conservadora del país”. El listado es conformado también por Yiannis Boutaris, de Salónica (Grecia) en primer lugar; Tri Rismaharini, de Surabaya en el segundo lugar, (Indonesia), Klaus Wowereit, alcalde de Berlín, en la tercera posición; Naheed Nenshi, de Calgary (Canadá); Anne Hidalgo, alcaldesa de París; Annise Parker, de Houston (Texas, EE.UU.) y Mauricio Macri, alcalde de Buenos Aires. Al respecto, Eduardo Behrentz, decano de Ingenieria en la Universidad de los Andes, en diálogo con BLU Radio, dijo que “quien premie la gestión del alcalde o que considere a Bogotá como un referente urbanístico es porque no ha venido a la ciudad”. Behrentz además destacó que la publicación “desde una perspectiva urbanística es un desacierto, yo no veo ningún tema en el que Bogotá esté avanzado, por el contrario, los temas que tienen que ver con desarrollo y calidad de vida, el retroceso es evidente en casi todos los sectores"".";;;https://www.lasillavacia.com/la-silla-vacia/detector-de-mentiras/petro-no-estuvo-entre-la-lista-de-los-mejores-alcaldes-del-mundo;;Falso;;
82;QUÉ BUENA NOTICIA!;Hay noticias que lo reconcilian a uno con la vida. Colombia pone en manos de la Corte Penal Internacional la revisión de los Acuerdos firmados con las FARC, así como también la revisión de todo lo relacionado con la creación y funcionamiento de la JEP. En principio, tanto la firma internacional de abogados penalistas e internacionalistas, expertos en manejo de casos de CPI, como la misma CPI , han encontrado fallas de carácter muy grave y excesiva impunidad en relación con los jefes o miembros del Secretariado de las FARC. Ésta gentión ante CPI, se está adelantando a través de una de las firmas de abogados más seria y prestigiosas de Europa, con sede en Madrid, España y cuenta con la asesoría de la Corporación Rosa Blanca Escuchando al abogado penalists de la firma Española, queda uno pasmado al comprobar el montaje y el engaño del cuál hicieron víctima a Colombia Juan Manuel Santos Calderon y los dirigentes de las FARC. Lo que se ha hecho en colombia, es algo monstruoso y muy difícil de asimilar y quizás se trata del país del mundo más gravemente afectado por crímenes horrendos y por la gran impunidad reinante. Por fortuna, se empieza a ver la luz al final del túnel.;;;https://www.lasillavacia.com/la-silla-vacia/detector-de-mentiras/detector:-colombia-no-pidi%C3%B3-que-la-cpi-revise-el-acuerdo-y-la-jep;;Falso;;
83;Ivan Duque exclamó: “Si gana Petro, saldrá de aquí como cadáver y yo como…”;El candidato a la presidencia Ivan Duque dio unas fuertes declaraciones en contra del líder Gustavo Petro.  Durante una de sus presentaciones aprovecho para hacer llegar un mensaje claro y contundente a su contrincante. “Yo sé que estas elecciones las ganare yo, si gana Petro seria por fraude y ninguno de nosotros ni los colombianos permitirán que pase, por eso  saldrá de aquí como cadáver y yo como presidente de eso si estoy seguro’’ estas fueron las contundentes palabras que Duque expresó a los presentes, del mismo modo continuo diciendo ‘’invito a que los grupos que tengan el poder y pretendan defender la república  se encarguen de hacerle entender que él nunca será presidente de este hermoso país” Dicho lo anterior Duque les dejo en claro a sus seguidores, que de batirse en elecciones estas no arrojarían resultados justos y es por ello que se debe asegurar su puesto en la presidencia por medios más puntuales.;;;https://www.lasillavacia.com/la-silla-vacia/detector-de-mentiras/la-falsa-amenaza-de-duque-a-petro;;Falso;;
84;Prohíben salida del País y embargan a Alvaro Uribe los bienes obtenidos durante su gobierno;El ex presidente de Colombia Alvaro Uribe fue acusado de asociación ilícita y lavado de activos, con embargo de bienes y prohibición de salir del país, y quedó judicialmente cercada. El juez encargado, además de imputarlo por corrupción, ordenó un embargo por 8 millones de dólares. El magistrado también prohibió la salida del país de todos los procesados, entre los que se incluyen además de Uribe a dos empresarios, precisó el Centro de Información Judicial. De acuerdo con la resolución, Alvaro Uribe fue procesado como autor penalmente responsable de los delitos de asociación ilícita como jefe en forma real con el delito de lavado de activos de origen ilícito agravado por su habitualidad y de negociaciones incompatibles por ser funcionario.;;;https://www.lasillavacia.com/historias/silla-nacional/la-falsa-noticia-del-embargo-y-la-orden-que-le-impide-a-uribe-salir-del-pais;;Falso;;
